,name,team,rec_target,rec_rec,rec_yd,rec_td,fp,season,week,next_fp,rush_att,rush_yd,rush_td,afc_n,afc_s,afc_w,nfc_e,nfc_n,nfc_s,nfc_w,temperature,wind,precipitation,dome,status_code
0,A.J. Derby,Broncos,1.0,0.0,0.0,0.0,0.0,2016,9,2.2,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,70,0,0.0,1.0,0.0
1,A.J. Derby,Broncos,1.0,0.0,0.0,0.0,0.0,2016,9,2.2,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,70,0,0.0,1.0,0.0
2,Virgil Green,Broncos,4.0,2.0,37.0,0.0,3.7,2016,9,2.4,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,70,0,0.0,1.0,1.0
3,Virgil Green,Broncos,4.0,2.0,37.0,0.0,3.7,2016,9,2.4,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,70,0,0.0,1.0,1.0
4,A.J. Derby,Broncos,3.0,2.0,22.0,0.0,2.2,2016,10,4.3,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75,3,0.0,0.0,0.0
5,Virgil Green,Broncos,6.0,2.0,24.0,0.0,2.4,2016,10,0.9,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75,3,0.0,0.0,0.0
6,A.J. Derby,Broncos,4.0,4.0,43.0,0.0,4.3,2016,12,5.7,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75,3,0.0,0.0,0.0
7,A.J. Derby,Broncos,5.0,5.0,57.0,0.0,5.7,2016,14,3.5,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27,3,0.0,0.0,0.0
8,A.J. Derby,Broncos,6.0,4.0,35.0,0.0,3.5,2016,15,3.4,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60,1,1.0,0.0,1.0
9,Jeff Heuerman,Broncos,4.0,2.0,40.0,0.0,4.0,2016,15,3.2,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60,1,1.0,0.0,0.0
10,Virgil Green,Broncos,2.0,1.0,9.0,0.0,0.9,2016,15,7.7,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60,1,1.0,0.0,1.0
11,A.J. Derby,Broncos,3.0,3.0,34.0,0.0,3.4,2017,1,0.5,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69,1,0.0,0.0,0.0
12,A.J. Derby,Broncos,3.0,3.0,34.0,0.0,3.4,2017,1,0.5,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69,1,0.0,0.0,0.0
13,A.J. Derby,Broncos,3.0,3.0,34.0,0.0,3.4,2017,1,0.5,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69,1,0.0,0.0,0.0
14,Jeff Heuerman,Broncos,2.0,1.0,20.0,0.0,2.0,2017,1,1.5,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69,1,0.0,0.0,0.0
15,Jeff Heuerman,Broncos,2.0,1.0,20.0,0.0,2.0,2017,1,1.5,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69,1,0.0,0.0,0.0
16,Jeff Heuerman,Broncos,2.0,1.0,20.0,0.0,2.0,2017,1,1.5,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69,1,0.0,0.0,0.0
17,Virgil Green,Broncos,1.0,1.0,44.0,0.0,4.4,2017,1,7.1,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69,1,0.0,0.0,0.0
